config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 20 12 0
(10+2)(17+3) 57600 20 13 0
(10+2)(17+3) 57600 20 14 0
(10+2)(17+3) 57600 20 15 0
(10+2)(17+3) 57600 20 16 0
(10+2)(17+3) 57600 20 17 0
(10+2)(17+3) 57600 20 18 0
(10+2)(17+3) 57600 20 19 0
(10+2)(17+3) 57600 20 20 0
(10+2)(17+3) 57600 21 1 0
(10+2)(17+3) 57600 21 2 0
(10+2)(17+3) 57600 21 3 0.0000501163138482687759835237788118733725787282408994011557958211155355363749239547616821905775130635
(10+2)(17+3) 57600 21 4 0.0000076226927117036583331907959474660727791848134112355311797207685598529259823704029574180732598684
(10+2)(17+3) 57600 21 5 0.0000012832363052845689510395102541115730111924568046903371414722291873640732546585862210950121041751
(10+2)(17+3) 57600 21 6 2.363732768611510821148230178895473673119093927526159562294437088547561538271134424707684025189E-7
(10+2)(17+3) 57600 21 7 4.50720328375016282929986254466509923774411277908452842442936358380984798960619962926091015956E-8
(10+2)(17+3) 57600 21 8 8.4301827697454102453859172476154385491895105007974309805506283319181048480220512116425475104E-9
(10+2)(17+3) 57600 21 9 1.4610528827030392231751156261147085029586614660823604285904246647573325572964847876028485239E-9
(10+2)(17+3) 57600 21 10 2.179825214192207902073653277242181578461159041145598096018714061215904311738390157549426084E-10
(10+2)(17+3) 57600 21 11 2.47885609076489836566013650166334702646187024279220189051264325583811117804861106546498417E-11
(10+2)(17+3) 57600 21 12 1.6117732168557671553671539238590825592683532335826128185695628915589943423516070342087874E-12
(10+2)(17+3) 57600 21 13 0
(10+2)(17+3) 57600 21 14 0
(10+2)(17+3) 57600 21 15 0
(10+2)(17+3) 57600 21 16 0
(10+2)(17+3) 57600 21 17 0
(10+2)(17+3) 57600 21 18 0
(10+2)(17+3) 57600 21 19 0
(10+2)(17+3) 57600 21 20 0
(10+2)(17+3) 57600 21 21 0
(10+2)(17+3) 57600 22 1 0
(10+2)(17+3) 57600 22 2 0
(10+2)(17+3) 57600 22 3 0.0000993628424404382810982080580998740173699122979610092274648667531569138308217781250985902913919700
(10+2)(17+3) 57600 22 4 0.0000157625165776952930575380598493686711141661939064935857328713588884228188995547549651441531643289
(10+2)(17+3) 57600 22 5 0.0000027910282794821509084640803897549762511384530273176909963346686410318035120660924408421176120082
(10+2)(17+3) 57600 22 6 5.486037844710975692920162776761501330943395152024346141255704722552090226969873476314547993381E-7
(10+2)(17+3) 57600 22 7 1.137350980702481538682744835071941678516516012529700359456547839147389031015614515199567840236E-7
(10+2)(17+3) 57600 22 8 2.37196373385724382112725444599221108455365574303855791305478485512459870428700701725622502693E-8
(10+2)(17+3) 57600 22 9 4.7556202628382301643909873363766431389167154347565130684240220921629511412306093025350249964E-9
