config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 27 14 2.565707094636473717518132280166956284450098556369145824770352828160224431308420180306926E-13
(10+2)(17+3) 57600 27 15 5.56364904036522973002741205930025365914684012513113526997633733415691110660025210442006E-14
(10+2)(17+3) 57600 27 16 1.00196340404930582727496471296961206632805773534263870731318966279744490905135220167811E-14
(10+2)(17+3) 57600 27 17 1.3377840861760352925770987036565181227193707267456560754229916206767394351384428020256E-15
(10+2)(17+3) 57600 27 18 9.99220568947975399515076443301433890414679551364823140367810893810659729641871543498E-17
(10+2)(17+3) 57600 27 19 0
(10+2)(17+3) 57600 27 20 0
(10+2)(17+3) 57600 27 21 0
(10+2)(17+3) 57600 27 22 0
(10+2)(17+3) 57600 27 23 0
(10+2)(17+3) 57600 27 24 0
(10+2)(17+3) 57600 27 25 0
(10+2)(17+3) 57600 27 26 0
(10+2)(17+3) 57600 27 27 0
(10+2)(17+3) 57600 28 1 0
(10+2)(17+3) 57600 28 2 0
(10+2)(17+3) 57600 28 3 0.0000012951647868566736323010213150635767668410572049594530767996211192546232716951779103597139062525
(10+2)(17+3) 57600 28 4 2.464446175895707263173774177134237229482264577237724240972612005924765953167685834123954237245E-7
(10+2)(17+3) 57600 28 5 5.24184100267156625979607986897873071754358447137905133297614168053215314187782894823323581045E-8
(10+2)(17+3) 57600 28 6 1.28382045571225215908428719253088984428019957339567640878147276324062234681148154999156227846E-8
(10+2)(17+3) 57600 28 7 3.4880387577134280420202889336186867485233665944650764300798190007385968652826674348882541564E-9
(10+2)(17+3) 57600 28 8 1.0150991320686699802472506288901092379856832744314860961226093118453123363171891476756602803E-9
(10+2)(17+3) 57600 28 9 3.077949429606261151526694659888363940310530561949411790852245423581107158802393597061517607E-10
(10+2)(17+3) 57600 28 10 9.50897896687493788377450113569202749838291576266586772005209268923012115863751040012691486E-11
(10+2)(17+3) 57600 28 11 2.93580085816273109792798098509584620753544935475836224893207638055709057694941683972569363E-11
(10+2)(17+3) 57600 28 12 8.8938690169014382629539314004448077802844502318442520443921828727744195362211517712372492E-12
(10+2)(17+3) 57600 28 13 2.5937722324453203964270858435861067384038210105041813303701276568327003988330031992168318E-12
(10+2)(17+3) 57600 28 14 7.123607091781921897682862206146999503612304988471097341268478776606863958887461326525227E-13
(10+2)(17+3) 57600 28 15 1.791775091419862571884412781147182571244386809387196330285430006483359169238956874772515E-13
(10+2)(17+3) 57600 28 16 3.96937012622935051059159253792694036688335859175516668690558547344526840679561302012505E-14
(10+2)(17+3) 57600 28 17 7.2841649667130945947637334502233296061386726501933016930611432115912306410018169242102E-15
(10+2)(17+3) 57600 28 18 9.889091146066684783020381315416524189195006813401002717867980542823665848139524762104E-16
(10+2)(17+3) 57600 28 19 7.49726976346722940123741392972807538987531657655125234867824011456978478022671442523E-17
(10+2)(17+3) 57600 28 20 0
(10+2)(17+3) 57600 28 21 0
(10+2)(17+3) 57600 28 22 0
(10+2)(17+3) 57600 28 23 0
(10+2)(17+3) 57600 28 24 0
(10+2)(17+3) 57600 28 25 0
(10+2)(17+3) 57600 28 26 0
(10+2)(17+3) 57600 28 27 0
(10+2)(17+3) 57600 28 28 0
(10+2)(17+3) 57600 29 1 0
(10+2)(17+3) 57600 29 2 0
(10+2)(17+3) 57600 29 3 0.0000019994036915098656815543996322080824757593291748885193242033975744689752347674000191284579696690
(10+2)(17+3) 57600 29 4 3.908262632177272879644509243611429159508270321358363461163783802020250911798880970364934542798E-7
(10+2)(17+3) 57600 29 5 8.49206482105567250412293254176409965612226355857913327805407583484580330040678784728764372792E-8
(10+2)(17+3) 57600 29 6 2.12697617275841637446346130259339495431842646016022632889484888519033323704937178184764249391E-8
(10+2)(17+3) 57600 29 7 5.9298723303840035604408182323832278861108715592660457768122282638139021835950442956738211222E-9
(10+2)(17+3) 57600 29 8 1.7787553754545373152348892488504792673266048254174192416021507876673372388139285295855254457E-9
(10+2)(17+3) 57600 29 9 5.588799156522583819431671778761976938262116679154480415562356805746215028344584520371529021E-10
(10+2)(17+3) 57600 29 10 1.800465792402983499847205970464303015472357137545649337646918968805268453146086905013034057E-10
(10+2)(17+3) 57600 29 11 5.84140286395430094142266401857877972079342483282285428074662941691605713946968968503841540E-11
(10+2)(17+3) 57600 29 12 1.87768222531842442535814593761562379283114129689593690066089365925998651998657675439382500E-11
