config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 27 25 0
(10+2)(17+3) 57600 27 26 0
(10+2)(17+3) 57600 27 27 0
(10+2)(17+3) 57600 28 1 0
(10+2)(17+3) 57600 28 2 0
(10+2)(17+3) 57600 28 3 4.640495963029355287498173772732757978939090429007769197746449129071148291653655478551038353E-10
(10+2)(17+3) 57600 28 4 6.12414324926995444424322965759321495522839966445634708300508394693429847934459315025763473E-11
(10+2)(17+3) 57600 28 5 1.04357236837372500904568756267573910441774063615268586741844371465740802447334428308291976E-11
(10+2)(17+3) 57600 28 6 2.1938841536064714111677046156947922606123788026202604805417532060369083581384797763299621E-12
(10+2)(17+3) 57600 28 7 5.318119040244967789839207641933182435907394960858945092586057830309284016253330461297397E-13
(10+2)(17+3) 57600 28 8 1.414637220004296668269964410642508459503024084446299186250467442286264584717541131134902E-13
(10+2)(17+3) 57600 28 9 3.98504153164667878675006267497746860274705610192385738781308871893656292248223516425408E-14
(10+2)(17+3) 57600 28 10 1.15714088341789350056393849453041844506998626687551923264055923506435364954042392069897E-14
(10+2)(17+3) 57600 28 11 3.3870112131660285805204933545015317934228658478679348205624263135113098234596269798703E-15
(10+2)(17+3) 57600 28 12 9.792884831973882045350218277215627980681811277432358212505602784128626431308584727752E-16
(10+2)(17+3) 57600 28 13 2.740116883161777462443807149775967090444907191948730502909549199183443198640492224548E-16
(10+2)(17+3) 57600 28 14 7.25110380662794305824431945444322799672672614834088249381573472079745391807210175038E-17
(10+2)(17+3) 57600 28 15 1.76350979064456066032642468622163496632952146476104509355546228278898874378708905260E-17
(10+2)(17+3) 57600 28 16 3.7886147520526347061677171323879273662105497188515430618099940030690406558578319940E-18
(10+2)(17+3) 57600 28 17 6.759013263042116368330663158909898688449696362399899094108800207210372812164909982E-19
(10+2)(17+3) 57600 28 18 8.93986371801937430037562895778419178170803387703090151121468564312019005232609405E-20
(10+2)(17+3) 57600 28 19 6.6153225247623546718021882608504992256323743588815741340948292264927679041540686E-21
(10+2)(17+3) 57600 28 20 0
(10+2)(17+3) 57600 28 21 0
(10+2)(17+3) 57600 28 22 0
(10+2)(17+3) 57600 28 23 0
(10+2)(17+3) 57600 28 24 0
(10+2)(17+3) 57600 28 25 0
(10+2)(17+3) 57600 28 26 0
(10+2)(17+3) 57600 28 27 0
(10+2)(17+3) 57600 28 28 0
(10+2)(17+3) 57600 29 1 0
(10+2)(17+3) 57600 29 2 0
(10+2)(17+3) 57600 29 3 7.809374894591172021847900084408399561722336939881063905313667296657176946165101248281286374E-10
(10+2)(17+3) 57600 29 4 1.036312836379153834500222125614347002131534857301667432584594132202544101535667134467656969E-10
(10+2)(17+3) 57600 29 5 1.78255538969963975821982418626797937850678729283497403969783163146178355008181218386061764E-11
(10+2)(17+3) 57600 29 6 3.8039576941652445250273022965673987438104199256568965133811555136813030234549629007481936E-12
(10+2)(17+3) 57600 29 7 9.414628192791195421112442787777658001739205090512706126369636763424378705530449877095380E-13
(10+2)(17+3) 57600 29 8 2.571947133171690370297237452276094920884499613857100056362322301936995075452773613593716E-13
(10+2)(17+3) 57600 29 9 7.48707133559057411763186837889319038660285323483182310946147799715718762792147912179187E-14
(10+2)(17+3) 57600 29 10 2.26219212976455712131253480078628538823350717389479039929955070810675039343452663043247E-14
(10+2)(17+3) 57600 29 11 6.9462418279400548432379236225054016979167578788218552427720701946092915422179663301298E-15
(10+2)(17+3) 57600 29 12 2.1279741994966801374248206162818854276764629905243524799741407284913908064605390861374E-15
(10+2)(17+3) 57600 29 13 6.389968147758891661120768403536579621875987482493857657724337244136070924176808868942E-16
(10+2)(17+3) 57600 29 14 1.846009485529679860859120008393941644653641437102257795289257581763454810322156388433E-16
(10+2)(17+3) 57600 29 15 5.02047181416201711160806698708991040189456053010724237370365405968322321499552120922E-17
(10+2)(17+3) 57600 29 16 1.25026388681777061544032174179776949144018886910211832894583988033092661169911682620E-17
